,Month,Avg. Players,Gain,% Gain,Peak Players
0,Last 30 Days,60.29,+19.0,+46.08%,137
1,September 2022,41.27,-43.13,-51.10%,113
2,August 2022,84.4,-16.42,-16.29%,164
3,July 2022,100.83,-60.94,-37.67%,188
4,June 2022,161.76,-27.04,-14.32%,287
5,May 2022,188.8,-17.31,-8.40%,309
6,April 2022,206.11,8.54,+4.32%,349
7,March 2022,197.57,-2.61,-1.30%,380
8,February 2022,200.18,-45.32,-18.46%,332
9,January 2022,245.5,17.72,+7.78%,443
10,December 2021,227.78,-50.51,-18.15%,422
11,November 2021,278.29,-0.84,-0.30%,599
12,October 2021,279.13,-60.71,-17.87%,515
13,September 2021,339.84,-111.53,-24.71%,604
14,August 2021,451.37,-73.05,-13.93%,744
15,July 2021,524.42,135.08,+34.70%,2312
16,June 2021,389.34,-200.35,-33.98%,647
17,May 2021,589.69,-249.12,-29.70%,1064
18,April 2021,838.81,125.42,+17.58%,1565
19,March 2021,713.39,-397.59,-35.79%,1103
20,February 2021,1110.99,-1101.35,-49.78%,1660
21,January 2021,2212.34,-238.77,-9.74%,5447
22,December 2020,2451.11,-,-,4745
